    MATRICULE         DIRECTION      HEURE D'EMBAUCHE
       836               PRMP                    08h-17H
      6068               DAF                   07h30-16H30
      7530               DPAS                  07h30-16H30
      7766               DRH                   07h30-16H30
      3738              DPMEER                   08h-17H
      3644               DPAS                    08h-17H
      3735               PRMP                    08h-17H
      3739                  D.E.C                08h-17H
      3515              DPMEER                   08h-17H
       555               DPAS                    08h-17H
      7579               DEPP                    08h-17H
      2488                SG                     08h-17H
      4705               CESS                    08h-17H
      7418               DRH                   07h30-16H30
      7196               DPAS                    08h-17H
      3070              DPMEER                   08h-17H
      4747                DD                     08h-17H
      4141               CCMP                  07h30-16H30
      7649               CCRP                    08h-17H
      3714               DRH                     08h-17H
      6073               DAF                     08h-17H
      3247                SG                   07h30-16H30
      4411               DPAS                    08h-17H
      4682               DSI                     08h-17H
      3742               DEPP                    08h-17H
      3063               DRH                   07h30-16H30
      6077                  D.E.C                08h-17H
      6077               DPAS                    07h-16H
      2422               DSI                     07h-16H
      3676               DCC                     08h-17H
      6440               DPAS                    08h-17H
      7524                DD                     08h-17H
       472               DAI                     08h-17H
      4003               DPAS                  07h30-16H30
      7763               PRMP                    08h-17H
      3624               DPAS                    08h-17H
       871           GOUVERNANCE                 07h-16H
      3792              DPMEER                   08h-17H
      3643               DPAS                    08h-17H
      7621               DRH                     08h-17H
      7698               PRMP                    08h-17H
      3723               DAF                     08h-17H
       579               DPAS                    07h-16H
      4598               DPAS                  07h30-16H30
      3072                  D.E.C                08h-17H
      7550                DD                     08h-17H
      7630               DPAS                  07h30-16H30
      6562               DRH                   07h30-16H30
      4347               DCC                     08h-17H
      7608              DPMEER                   08h-17H
       441               DPAS                    08h-17H
      4711               DPAS                  07h30-16H30
       686               DPAS                    07h-16H
      4195               DSI                   07h30-16H30
       441               DPAS                    08h-17H
      3715               DRH                     08h-17H
      6079               DPAS                    07h-16H
      5365               DPAS                    08h-17H
      3147                  D.E.C                08h-17H
      7794               PRMP                    08h-17H
      2373               DPAS                    08h-17H
      7540               DAF                     08h-17H
      7438               DAF                     08h-17H
      7100               DEPP                    08h-17H
      7019                  D.E.C                08h-17H
      3291               DAF                   07h30-16H30
      3594               DAF                   07h30-16H30
      4276               PRMP                    08h-17H
      7556               DPAS                    08h-17H
      2450                  D.E.C                08h-17H
      3293               DCC                     08h-17H
      2443               DAI                     08h-17H
      4578               DPAS                    07h-16H
      6570               DAF                     08h-17H
      3986               DEPP                    08h-17H
      2468               DPAS                    08h-17H
      4357                  D.E.C                08h-17H
      3505               DAF                   07h30-16H30
      4798               DSI                   07h30-16H30
      7098               DPAS                  07h30-16H30
      7701               DSI                     07h-16H
      7708               PRMP                    08h-17H
      3467                  D.E.C                08h-17H
      6560               DAF                   07h30-16H30
      5092                SG                     08h-17H
      4343               DPAS                    07h-16H
      4573               DPAS                    07h-16H
      3251               DPAS                    08h-17H
      4611                DD                     08h-17H
      2441               DRH                     08h-17H
      4169               DEPP                    08h-17H
      7667               DRH                     08h-17H
      7525               DCC                     08h-17H
      3031               DPAS                    07h-16H
      4575               DPAS                    07h-16H
      7699               DAF                     08h-17H
      3987              DPMEER                   08h-17H
      4829               DSI                     08h-17H
      7414               DAF                   07h30-16H30
      6504               DPAS                    08h-17H
       783           GOUVERNANCE               07h30-16H30
      7091                DD                     08h-17H
      7706               DEPP                    08h-17H
      7759               DPAS                  07h30-16H30
